Using random initial phases in range [-pi, pi]
Removing 279731 of 524289 phases from optimization, 244558 phases remaining
LF cutoff freq: 10.0Hz, HF cutoff freq: 22400.0Hz
Optimization Indices: [110;244667] ->  [10.07080078125;22399.932861328125]Hz
Building 287 filters... Done.
Starting optimization:
Sample Rate: 96000Hz
Signal length 10.922666666666666s (Number of Samples: 1048576)
Num Frequencies: 524289
Num Filters: 287
Iteration 321, Objective: 0.045157dB, Best: 0.045157dB
Iteration 322, Objective: 0.044966dB, Best: 0.044966dB
Iteration 323, Objective: 0.044789dB, Best: 0.044789dB
Iteration 324, Objective: 0.044635dB, Best: 0.044635dB
Iteration 325, Objective: 0.044631dB, Best: 0.044631dB
Iteration 326, Objective: 0.044457dB, Best: 0.044457dB
Iteration 327, Objective: 0.044387dB, Best: 0.044387dB
Iteration 328, Objective: 0.044247dB, Best: 0.044247dB
Iteration 329, Objective: 0.044154dB, Best: 0.044154dB
Iteration 330, Objective: 0.044114dB, Best: 0.044114dB
Iteration 331, Objective: 0.043996dB, Best: 0.043996dB
Iteration 332, Objective: 0.043867dB, Best: 0.043867dB
Iteration 333, Objective: 0.043772dB, Best: 0.043772dB
Iteration 334, Objective: 0.043679dB, Best: 0.043679dB
Iteration 335, Objective: 0.043612dB, Best: 0.043612dB
Iteration 336, Objective: 0.043503dB, Best: 0.043503dB
Iteration 337, Objective: 0.043308dB, Best: 0.043308dB
Iteration 338, Objective: 0.043235dB, Best: 0.043235dB
Iteration 339, Objective: 0.043159dB, Best: 0.043159dB
Iteration 340, Objective: 0.042819dB, Best: 0.042819dB
Iteration 341, Objective: 0.042558dB, Best: 0.042558dB
Iteration 342, Objective: 0.042477dB, Best: 0.042477dB
Iteration 343, Objective: 0.042288dB, Best: 0.042288dB
Iteration 344, Objective: 0.042284dB, Best: 0.042284dB
Iteration 345, Objective: 0.042105dB, Best: 0.042105dB
Iteration 346, Objective: 0.042007dB, Best: 0.042007dB
Iteration 347, Objective: 0.041817dB, Best: 0.041817dB
Iteration 348, Objective: 0.041713dB, Best: 0.041713dB
Iteration 349, Objective: 0.041664dB, Best: 0.041664dB
Iteration 350, Objective: 0.041461dB, Best: 0.041461dB
Iteration 351, Objective: 0.041376dB, Best: 0.041376dB
Iteration 352, Objective: 0.041296dB, Best: 0.041296dB
Iteration 353, Objective: 0.041208dB, Best: 0.041208dB
Iteration 354, Objective: 0.041108dB, Best: 0.041108dB
Iteration 355, Objective: 0.040892dB, Best: 0.040892dB
Iteration 356, Objective: 0.040747dB, Best: 0.040747dB
Iteration 357, Objective: 0.040576dB, Best: 0.040576dB
Iteration 358, Objective: 0.040430dB, Best: 0.040430dB
Iteration 359, Objective: 0.040383dB, Best: 0.040383dB
Iteration 360, Objective: 0.040349dB, Best: 0.040349dB
Iteration 361, Objective: 0.040325dB, Best: 0.040325dB
Iteration 362, Objective: 0.040324dB, Best: 0.040324dB
Iteration 363, Objective: 0.040095dB, Best: 0.040095dB
Iteration 364, Objective: 0.040076dB, Best: 0.040076dB
Iteration 365, Objective: 0.039822dB, Best: 0.039822dB
Iteration 366, Objective: 0.039765dB, Best: 0.039765dB
Iteration 367, Objective: 0.039718dB, Best: 0.039718dB
Iteration 368, Objective: 0.039682dB, Best: 0.039682dB
Iteration 369, Objective: 0.039330dB, Best: 0.039330dB
Iteration 370, Objective: 0.039180dB, Best: 0.039180dB
Iteration 371, Objective: 0.039101dB, Best: 0.039101dB
Iteration 372, Objective: 0.038977dB, Best: 0.038977dB
Iteration 373, Objective: 0.038842dB, Best: 0.038842dB
Iteration 374, Objective: 0.038773dB, Best: 0.038773dB
Iteration 375, Objective: 0.038709dB, Best: 0.038709dB
Iteration 376, Objective: 0.038601dB, Best: 0.038601dB
Iteration 377, Objective: 0.038525dB, Best: 0.038525dB
Iteration 378, Objective: 0.038356dB, Best: 0.038356dB
Iteration 379, Objective: 0.038017dB, Best: 0.038017dB
Iteration 380, Objective: 0.037853dB, Best: 0.037853dB
Iteration 381, Objective: 0.037743dB, Best: 0.037743dB
Iteration 382, Objective: 0.037502dB, Best: 0.037502dB
Iteration 383, Objective: 0.037384dB, Best: 0.037384dB
Iteration 384, Objective: 0.037331dB, Best: 0.037331dB
Iteration 385, Objective: 0.037276dB, Best: 0.037276dB
Iteration 386, Objective: 0.037251dB, Best: 0.037251dB
Iteration 387, Objective: 0.037220dB, Best: 0.037220dB
Iteration 388, Objective: 0.037188dB, Best: 0.037188dB
Iteration 389, Objective: 0.037131dB, Best: 0.037131dB
Iteration 390, Objective: 0.037041dB, Best: 0.037041dB
Iteration 391, Objective: 0.036891dB, Best: 0.036891dB
Iteration 392, Objective: 0.036875dB, Best: 0.036875dB
Iteration 393, Objective: 0.036707dB, Best: 0.036707dB
Iteration 394, Objective: 0.036566dB, Best: 0.036566dB
Iteration 395, Objective: 0.036347dB, Best: 0.036347dB
Iteration 396, Objective: 0.036222dB, Best: 0.036222dB
Iteration 397, Objective: 0.036107dB, Best: 0.036107dB
Iteration 398, Objective: 0.036042dB, Best: 0.036042dB
Iteration 399, Objective: 0.035999dB, Best: 0.035999dB
Iteration 400, Objective: 0.035884dB, Best: 0.035884dB
Iteration 401, Objective: 0.035817dB, Best: 0.035817dB
Iteration 402, Objective: 0.035739dB, Best: 0.035739dB
Iteration 403, Objective: 0.035697dB, Best: 0.035697dB
Iteration 404, Objective: 0.035632dB, Best: 0.035632dB
Iteration 405, Objective: 0.035542dB, Best: 0.035542dB
Iteration 406, Objective: 0.035458dB, Best: 0.035458dB
Iteration 407, Objective: 0.035436dB, Best: 0.035436dB
Iteration 408, Objective: 0.035165dB, Best: 0.035165dB
Iteration 409, Objective: 0.035015dB, Best: 0.035015dB
Iteration 410, Objective: 0.034842dB, Best: 0.034842dB
Iteration 411, Objective: 0.034582dB, Best: 0.034582dB
Iteration 412, Objective: 0.034504dB, Best: 0.034504dB
Iteration 413, Objective: 0.034428dB, Best: 0.034428dB
Iteration 414, Objective: 0.034352dB, Best: 0.034352dB
Iteration 415, Objective: 0.034126dB, Best: 0.034126dB
Iteration 416, Objective: 0.033951dB, Best: 0.033951dB
Iteration 417, Objective: 0.033821dB, Best: 0.033821dB
Iteration 418, Objective: 0.033774dB, Best: 0.033774dB
Iteration 419, Objective: 0.033491dB, Best: 0.033491dB
Iteration 420, Objective: 0.033289dB, Best: 0.033289dB
Iteration 421, Objective: 0.033284dB, Best: 0.033284dB
Iteration 422, Objective: 0.033104dB, Best: 0.033104dB
Iteration 423, Objective: 0.032996dB, Best: 0.032996dB
Iteration 424, Objective: 0.032931dB, Best: 0.032931dB
Iteration 425, Objective: 0.032859dB, Best: 0.032859dB
Iteration 426, Objective: 0.032695dB, Best: 0.032695dB
Iteration 427, Objective: 0.032613dB, Best: 0.032613dB
Iteration 428, Objective: 0.032404dB, Best: 0.032404dB
Iteration 429, Objective: 0.032329dB, Best: 0.032329dB
Iteration 430, Objective: 0.032124dB, Best: 0.032124dB
Iteration 431, Objective: 0.032026dB, Best: 0.032026dB
Iteration 432, Objective: 0.031937dB, Best: 0.031937dB
Iteration 433, Objective: 0.031852dB, Best: 0.031852dB
