Using FFT length 65536
Using random initial phases in range [-pi, pi]
Removing 279731 of 524289 phases from optimization, 244558 phases remaining
LF cutoff freq: 10.0Hz, HF cutoff freq: 22400.0Hz
Optimization Indices: [110;244667] ->  [10.07080078125;22399.932861328125]Hz
Building 287 filters... Done.
Starting optimization:
Sample Rate: 96000Hz
Signal length 10.922666666666666s (Number of Samples: 1048576)
Num Frequencies: 524289
Num Filters: 287
Iteration 368, Objective: 0.037809dB, Best: 0.037809dB
Iteration 369, Objective: 0.037770dB, Best: 0.037770dB
Iteration 370, Objective: 0.037757dB, Best: 0.037757dB
Iteration 371, Objective: 0.037730dB, Best: 0.037730dB
Iteration 372, Objective: 0.037649dB, Best: 0.037649dB
Iteration 373, Objective: 0.037523dB, Best: 0.037523dB
Iteration 374, Objective: 0.037472dB, Best: 0.037472dB
Iteration 375, Objective: 0.037388dB, Best: 0.037388dB
Iteration 376, Objective: 0.037305dB, Best: 0.037305dB
Iteration 377, Objective: 0.037255dB, Best: 0.037255dB
Iteration 378, Objective: 0.037192dB, Best: 0.037192dB
Iteration 379, Objective: 0.037160dB, Best: 0.037160dB
Iteration 380, Objective: 0.037050dB, Best: 0.037050dB
Iteration 381, Objective: 0.036987dB, Best: 0.036987dB
Iteration 382, Objective: 0.036942dB, Best: 0.036942dB
Iteration 383, Objective: 0.036908dB, Best: 0.036908dB
Iteration 384, Objective: 0.036740dB, Best: 0.036740dB
Iteration 385, Objective: 0.036599dB, Best: 0.036599dB
Iteration 386, Objective: 0.036553dB, Best: 0.036553dB
Iteration 387, Objective: 0.036437dB, Best: 0.036437dB
Iteration 388, Objective: 0.036409dB, Best: 0.036409dB
Iteration 389, Objective: 0.036368dB, Best: 0.036368dB
Iteration 390, Objective: 0.036309dB, Best: 0.036309dB
Iteration 391, Objective: 0.036188dB, Best: 0.036188dB
Iteration 392, Objective: 0.036164dB, Best: 0.036164dB
Iteration 393, Objective: 0.036027dB, Best: 0.036027dB
Iteration 394, Objective: 0.035919dB, Best: 0.035919dB
Iteration 395, Objective: 0.035888dB, Best: 0.035888dB
Iteration 396, Objective: 0.035729dB, Best: 0.035729dB
Iteration 397, Objective: 0.035668dB, Best: 0.035668dB
Iteration 398, Objective: 0.035603dB, Best: 0.035603dB
Iteration 399, Objective: 0.035520dB, Best: 0.035520dB
Iteration 400, Objective: 0.035449dB, Best: 0.035449dB
Iteration 401, Objective: 0.035326dB, Best: 0.035326dB
Iteration 402, Objective: 0.035268dB, Best: 0.035268dB
Iteration 403, Objective: 0.035195dB, Best: 0.035195dB
Iteration 404, Objective: 0.035141dB, Best: 0.035141dB
Iteration 405, Objective: 0.035081dB, Best: 0.035081dB
Iteration 406, Objective: 0.035044dB, Best: 0.035044dB
Iteration 407, Objective: 0.035013dB, Best: 0.035013dB
Iteration 408, Objective: 0.034984dB, Best: 0.034984dB
Iteration 409, Objective: 0.034966dB, Best: 0.034966dB
Iteration 410, Objective: 0.034897dB, Best: 0.034897dB
Iteration 411, Objective: 0.034844dB, Best: 0.034844dB
Iteration 412, Objective: 0.034813dB, Best: 0.034813dB
Iteration 413, Objective: 0.034683dB, Best: 0.034683dB
Iteration 414, Objective: 0.034652dB, Best: 0.034652dB
Iteration 415, Objective: 0.034564dB, Best: 0.034564dB
Iteration 416, Objective: 0.034537dB, Best: 0.034537dB
Iteration 417, Objective: 0.034456dB, Best: 0.034456dB
Iteration 418, Objective: 0.034402dB, Best: 0.034402dB
Iteration 419, Objective: 0.034375dB, Best: 0.034375dB
Iteration 420, Objective: 0.034337dB, Best: 0.034337dB
Iteration 421, Objective: 0.034330dB, Best: 0.034330dB
Iteration 422, Objective: 0.034218dB, Best: 0.034218dB
Iteration 423, Objective: 0.034193dB, Best: 0.034193dB
Iteration 424, Objective: 0.034108dB, Best: 0.034108dB
Iteration 425, Objective: 0.034068dB, Best: 0.034068dB
Iteration 426, Objective: 0.034053dB, Best: 0.034053dB
Iteration 427, Objective: 0.033993dB, Best: 0.033993dB
Iteration 428, Objective: 0.033942dB, Best: 0.033942dB
Iteration 429, Objective: 0.033915dB, Best: 0.033915dB
Iteration 430, Objective: 0.033892dB, Best: 0.033892dB
Iteration 431, Objective: 0.033863dB, Best: 0.033863dB
