Using FFT length 65536
Using random initial phases in range [-pi, pi]
Removing 279731 of 524289 phases from optimization, 244558 phases remaining
LF cutoff freq: 10.0Hz, HF cutoff freq: 22400.0Hz
Optimization Indices: [110;244667] ->  [10.07080078125;22399.932861328125]Hz
Building 287 filters... Done.
Starting optimization:
Sample Rate: 96000Hz
Signal length 10.922666666666666s (Number of Samples: 1048576)
Num Frequencies: 524289
Num Filters: 287
Iteration 297, Objective: 0.026155dB, Best: 0.026155dB
Iteration 298, Objective: 0.026138dB, Best: 0.026138dB
Iteration 299, Objective: 0.026119dB, Best: 0.026119dB
Iteration 300, Objective: 0.026093dB, Best: 0.026093dB
Iteration 301, Objective: 0.026075dB, Best: 0.026075dB
Iteration 302, Objective: 0.026038dB, Best: 0.026038dB
Iteration 303, Objective: 0.026019dB, Best: 0.026019dB
Iteration 304, Objective: 0.025985dB, Best: 0.025985dB
Iteration 305, Objective: 0.025953dB, Best: 0.025953dB
Iteration 306, Objective: 0.025935dB, Best: 0.025935dB
Iteration 307, Objective: 0.025916dB, Best: 0.025916dB
Iteration 308, Objective: 0.025890dB, Best: 0.025890dB
Iteration 309, Objective: 0.025871dB, Best: 0.025871dB
Iteration 310, Objective: 0.025849dB, Best: 0.025849dB
Iteration 311, Objective: 0.025833dB, Best: 0.025833dB
Iteration 312, Objective: 0.025808dB, Best: 0.025808dB
Iteration 313, Objective: 0.025760dB, Best: 0.025760dB
Iteration 314, Objective: 0.025666dB, Best: 0.025666dB
Iteration 315, Objective: 0.025617dB, Best: 0.025617dB
Iteration 316, Objective: 0.025580dB, Best: 0.025580dB
Iteration 317, Objective: 0.025562dB, Best: 0.025562dB
Iteration 318, Objective: 0.025518dB, Best: 0.025518dB
Iteration 319, Objective: 0.025512dB, Best: 0.025512dB
Iteration 320, Objective: 0.025425dB, Best: 0.025425dB
Iteration 321, Objective: 0.025391dB, Best: 0.025391dB
Iteration 322, Objective: 0.025360dB, Best: 0.025360dB
Iteration 323, Objective: 0.025322dB, Best: 0.025322dB
Iteration 324, Objective: 0.025301dB, Best: 0.025301dB
Iteration 325, Objective: 0.025297dB, Best: 0.025297dB
Iteration 326, Objective: 0.025259dB, Best: 0.025259dB
Iteration 327, Objective: 0.025226dB, Best: 0.025226dB
Iteration 328, Objective: 0.025216dB, Best: 0.025216dB
Iteration 329, Objective: 0.025201dB, Best: 0.025201dB
Iteration 330, Objective: 0.025182dB, Best: 0.025182dB
Iteration 331, Objective: 0.025160dB, Best: 0.025160dB
Iteration 332, Objective: 0.025124dB, Best: 0.025124dB
Iteration 333, Objective: 0.025093dB, Best: 0.025093dB
Iteration 334, Objective: 0.025054dB, Best: 0.025054dB
Iteration 335, Objective: 0.025019dB, Best: 0.025019dB
Iteration 336, Objective: 0.025003dB, Best: 0.025003dB
